year,name,fraction,sex
1890,John,0.071027,m
1890,Mary,0.059893,f
1890,William,0.062606,m
1890,Anna,0.025949,f
1890,James,0.042581,m
1890,Elizabeth,0.015432,f
1890,George,0.037243,m
1890,Margaret,0.015372,f
1890,Charles,0.033926,m
1890,Emma,0.014777,f
1890,Frank,0.025714,m
1890,Florence,0.013607,f
1890,Joseph,0.022306,m
1890,Ethel,0.013478,f
1890,Robert,0.021228,m
1890,Minnie,0.013141,f
1890,Henry,0.019624,m
1890,Clara,0.012377,f
1890,Harry,0.01959,m
1890,Bertha,0.011842,f
1890,Edward,0.019064,m
1890,Bessie,0.011752,f
1890,Thomas,0.018379,m
1890,Helen,0.011465,f
1890,Walter,0.015915,m
1890,Grace,0.011296,f
1890,Arthur,0.01345,m
1890,Alice,0.011261,f
1890,Fred,0.012581,m
1890,Annie,0.011009,f
1890,Albert,0.011838,m
1890,Ida,0.0108,f
1890,Clarence,0.008505,m
1890,Mabel,0.010205,f
1890,Roy,0.007861,m
1890,Edna,0.009784,f
1890,Louis,0.007185,m
1890,Lillian,0.009233,f
1890,Samuel,0.006809,m
1890,Nellie,0.00903,f
1890,Charlie,0.006658,m
1890,Sarah,0.008856,f
1890,Ernest,0.006466,m
1890,Martha,0.008847,f
1890,Willie,0.006332,m
1890,Ella,0.008718,f
1890,Earl,0.006215,m
1890,Pearl,0.008633,f
1890,Richard,0.006215,m
1890,Rose,0.008554,f
1890,David,0.006107,m
1890,Gertrude,0.008494,f
1890,Carl,0.005789,m
1890,Laura,0.008103,f
1890,Joe,0.005698,m
1890,Marie,0.007751,f
1890,Oscar,0.005246,m
1890,Carrie,0.007488,f
1890,Will,0.005121,m
1890,Edith,0.007404,f
1890,Paul,0.005071,m
1890,Louise,0.007299,f
1890,Ralph,0.004904,m
1890,Eva,0.007121,f
1890,Jesse,0.004812,m
1890,Frances,0.007022,f
1890,Andrew,0.004804,m
1890,Myrtle,0.006972,f
1890,Alfred,0.004586,m
1890,Lillie,0.006893,f
1890,Raymond,0.004561,m
1890,Cora,0.006873,f
1890,Benjamin,0.004486,m
1890,Hazel,0.006774,f
1890,Elmer,0.004411,m
1890,Hattie,0.006759,f
1890,Daniel,0.004219,m
1890,Maude,0.006739,f
1890,Howard,0.004185,m
1890,Julia,0.006322,f
1890,Sam,0.004085,m
1890,Jennie,0.006243,f
1890,Herbert,0.003901,m
1890,Mattie,0.006228,f
1890,Frederick,0.003425,m
1890,Jessie,0.006199,f
1890,Lee,0.003425,m
1890,Catherine,0.006109,f
1890,Peter,0.003425,m
1890,Elsie,0.00605,f
1890,Eugene,0.003408,m
1890,Ruth,0.005926,f
1890,Harold,0.003408,m
1890,Lena,0.005638,f
1890,Michael,0.003292,m
1890,Lula,0.005559,f
1890,Leo,0.003283,m
1890,Josephine,0.005544,f
1890,Herman,0.003191,m
1890,Agnes,0.00543,f
1890,Lewis,0.003133,m
1890,Ada,0.005326,f
