year,name,fraction,sex,rank
1943,James,0.055184,m,1
1943,Mary,0.046106,f,1
1943,Robert,0.051473,m,2
1943,Barbara,0.030259,f,2
1943,John,0.047396,m,3
1943,Patricia,0.027605,f,3
1943,William,0.038433,m,4
1943,Linda,0.026781,f,4
1943,Richard,0.03186,m,5
1943,Carol,0.022073,f,5
1943,David,0.025607,m,6
1943,Sandra,0.018107,f,6
1943,Charles,0.025185,m,7
1943,Judith,0.017565,f,7
1943,Thomas,0.022598,m,8
1943,Sharon,0.017217,f,8
1943,Ronald,0.020102,m,9
1943,Nancy,0.016716,f,9
1943,Michael,0.017015,m,10
1943,Betty,0.015046,f,10
1943,Donald,0.016785,m,11
1943,Carolyn,0.014186,f,11
1943,Larry,0.015792,m,12
1943,Shirley,0.012415,f,12
1943,Joseph,0.015691,m,13
1943,Judy,0.012109,f,13
1943,George,0.014905,m,14
1943,Margaret,0.011948,f,14
1943,Kenneth,0.013138,m,15
1943,Karen,0.011716,f,15
1943,Gary,0.012283,m,16
1943,Joyce,0.011487,f,16
1943,Jerry,0.01219,m,17
1943,Donna,0.010391,f,17
1943,Edward,0.012179,m,18
1943,Susan,0.010372,f,18
1943,Paul,0.011864,m,19
1943,Dorothy,0.010302,f,19
1943,Dennis,0.009704,m,20
1943,Janet,0.009278,f,20
1943,Frank,0.008422,m,21
1943,Joan,0.009217,f,21
1943,Raymond,0.007832,m,22
1943,Kathleen,0.008466,f,22
1943,Gerald,0.007811,m,23
1943,Elizabeth,0.008117,f,23
1943,Roger,0.007402,m,24
1943,Diane,0.007891,f,24
1943,Daniel,0.006304,m,25
1943,Virginia,0.007555,f,25
1943,Walter,0.006215,m,26
1943,Janice,0.007423,f,26
1943,Harold,0.005955,m,27
1943,Marilyn,0.007068,f,27
1943,Douglas,0.005663,m,28
1943,Helen,0.006827,f,28
1943,Stephen,0.005451,m,29
1943,Martha,0.006763,f,29
1943,Arthur,0.00535,m,30
1943,Gloria,0.006746,f,30
1943,Henry,0.005243,m,31
1943,Frances,0.006579,f,31
1943,Lawrence,0.005212,m,32
1943,Beverly,0.006571,f,32
1943,Carl,0.005133,m,33
